trial,seed,analysis,scenario,sigma_q,lambda,operator,policy_violation_rate,veto_preservation_rate,predictive_utility,n_veto_topk,n_weak_nv_topk,n_normal_topk,frac_veto_topk,frac_weak_nv_topk,frac_normal_topk,e_weak_context,observed_veto_rate,false_negative_veto_rate,kendall_tau,jaccard_top_k
0,42,lambda_sensitivity,high_veto_frac,0.0,0.0,linear,0.0,1.0,0.4973214654865407,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
0,42,lambda_sensitivity,high_veto_frac,0.0,0.0,geometric,0.0,1.0,0.4973214654865407,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
0,42,lambda_sensitivity,high_veto_frac,0.0,0.0,min,0.0,1.0,0.745094237877059,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
0,42,lambda_sensitivity,high_veto_frac,0.0,0.1,linear,0.0,1.0,0.5384528045446608,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9322946433401931,0.8348623853211009
0,42,lambda_sensitivity,high_veto_frac,0.0,0.1,geometric,0.0,1.0,0.5734425179145034,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9276352239409564,0.7241379310344828
0,42,lambda_sensitivity,high_veto_frac,0.0,0.1,min,0.0,1.0,0.745094237877059,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
0,42,lambda_sensitivity,high_veto_frac,0.0,0.2,linear,0.0,1.0,0.6062318615082618,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8519516121039822,0.6260162601626016
0,42,lambda_sensitivity,high_veto_frac,0.0,0.2,geometric,0.0,1.0,0.6490931457410133,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8450753209988879,0.5151515151515151
0,42,lambda_sensitivity,high_veto_frac,0.0,0.2,min,0.0,1.0,0.745094237877059,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
0,42,lambda_sensitivity,high_veto_frac,0.0,0.3,linear,0.0,1.0,0.6641314338401376,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7510057400418972,0.4925373134328358
0,42,lambda_sensitivity,high_veto_frac,0.0,0.3,geometric,0.0,1.0,0.6919920463678316,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7539419674451523,0.4084507042253521
0,42,lambda_sensitivity,high_veto_frac,0.0,0.3,min,0.0,1.0,0.745094237877059,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
0,42,lambda_sensitivity,high_veto_frac,0.0,0.4,linear,0.0,1.0,0.7159749402142068,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6209020194203821,0.36054421768707484
0,42,lambda_sensitivity,high_veto_frac,0.0,0.4,geometric,0.0,1.0,0.7270411047697927,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6600262865231018,0.32450331125827814
0,42,lambda_sensitivity,high_veto_frac,0.0,0.4,min,0.0,1.0,0.745094237877059,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
